{'loss': 0.7198, 'learning_rate': 1.7796901270948965e-05, 'epoch': 1.98}
{'loss': 0.7213, 'learning_rate': 1.76839079420751e-05, 'epoch': 1.98}
{'loss': 0.7182, 'learning_rate': 1.7570914613201235e-05, 'epoch': 1.99}
{'loss': 0.7208, 'learning_rate': 1.7457921284327376e-05, 'epoch': 2.0}
{'loss': 0.7221, 'learning_rate': 1.734492795545351e-05, 'epoch': 2.0}
{'loss': 0.726, 'learning_rate': 1.723193462657965e-05, 'epoch': 2.01}
{'loss': 0.721, 'learning_rate': 1.7118941297705784e-05, 'epoch': 2.02}
{'loss': 0.7193, 'learning_rate': 1.700594796883192e-05, 'epoch': 2.02}
{'loss': 0.7261, 'learning_rate': 1.6892954639958057e-05, 'epoch': 2.03}
{'loss': 0.7184, 'learning_rate': 1.6779961311084195e-05, 'epoch': 2.04}
{'loss': 0.7201, 'learning_rate': 1.666696798221033e-05, 'epoch': 2.04}
{'loss': 0.7144, 'learning_rate': 1.6553974653336468e-05, 'epoch': 2.05}
{'loss': 0.7207, 'learning_rate': 1.6440981324462603e-05, 'epoch': 2.06}
{'loss': 0.7188, 'learning_rate': 1.632798799558874e-05, 'epoch': 2.06}
{'loss': 0.7202, 'learning_rate': 1.621499466671488e-05, 'epoch': 2.07}
{'loss': 0.7222, 'learning_rate': 1.6102001337841014e-05, 'epoch': 2.08}
{'loss': 0.719, 'learning_rate': 1.5989008008967152e-05, 'epoch': 2.08}
{'loss': 0.717, 'learning_rate': 1.5876014680093287e-05, 'epoch': 2.09}
{'loss': 0.716, 'learning_rate': 1.5763021351219425e-05, 'epoch': 2.1}
{'loss': 0.7168, 'learning_rate': 1.565002802234556e-05, 'epoch': 2.1}
{'loss': 0.7145, 'learning_rate': 1.5537034693471698e-05, 'epoch': 2.11}
